S.N.	Reference No.	Name	Acc. No.	Valid From	Valid Upto	Remarks
1296	HCO-05-2023-02946	Marwari Hospital , Guwahati, Assam, India	H-2024-1324	08 Feb 2024	07 Feb 2028	Accredited on 5th Edition
1297	HCO-05-2023-02670	N P Rawal Hospitals Pvt. Ltd., Karnal, Haryana, India	H-2024-1325	15 Feb 2024	14 Feb 2028	Accredited on 5th Edition
1298	HCO-05-2023-02837	Victor Hospital, South Goa, Goa, India	H-2024-1326	15 Feb 2024	14 Feb 2028	Accredited on 5th Edition
1299	HCO-05-2023-02813	Apex Skyline Hospital (A Unit of Apex Hospitals Private Limited), Jhunjhunu, Rajasthan, India	H-2024-1327	15 Feb 2024	14 Feb 2028	Accredited on 5th Edition
1300	HCO-05-2023-02502	Philadelphia Hospital, Ambala, Haryana, India	H-2024-1328	29 Feb 2024	28 Feb 2028	Accredited on 5th Edition
1301	HCO-05-2023-02556	Sree Gokulam Medical College and Research Foundation, Thiruvananthapuram, Kerala, India	H-2024-1329	29 Feb 2024	28 Feb 2028	Accredited on 5th Edition
1302	HCO-05-2023-02484	Srinivas Institute of Medical Sciences and Research Centre , Mangalore, Karnataka, India	H-2024-1330	29 Feb 2024	28 Feb 2028	Accredited on 5th Edition
1303	HCO-05-2023-02553	Galaxy Hospital, Varanasi, Uttar Pradesh, India	H-2024-1331	29 Feb 2024	28 Feb 2028	Accredited on 5th Edition
1304	HCO-05-2023-02757	NIMS Medical College and Hospital, Jaipur, Rajasthan, India	H-2024-1332	29 Feb 2024	28 Feb 2028	Accredited on 5th Edition
1305	HCO-05-2023-03032	Mediversal Multi Super Specialty Hospital , Patna, Bihar, India	H-2024-1333	07 Mar 2024	06 Mar 2028	Accredited on 5th Edition
1306	HCO-05-2023-03059	Sachkhand Hospital , Alwar, Rajasthan, India	H-2024-1334	07 Mar 2024	06 Mar 2028	Accredited on 5th Edition
1307	HCO-05-2023-02744	Jagannath Gupta Institute of Medical Sciences and Hospital, Kolkata, West Bengal, India	H-2024-1335	07 Mar 2024	06 Mar 2028	Accredited on 5th Edition
1308	HCO-05-2023-02509	Narayana Multispeciality Hospital, Kolkata, West Bengal, India	H-2024-1336	07 Mar 2024	06 Mar 2028	Accredited on 5th Edition
1309	HCO-05-2023-02515	Shri Balaji Institute of Medical Science, Raipur, Chattisgarh, India	H-2024-1337	14 Mar 2024	13 Mar 2028	Accredited on 5th Edition
1310	HCO-05-2023-02825	Mehta Multispeciality Hospitals India Pvt. Ltd. - Global Campus, Chennai, Tamil Nadu, India	H-2024-1338	14 Mar 2024	13 Mar 2028	Accredited on 5th Edition
1311	HCO-05-2023-02617	Terna Speciality Hospital and Research Centre, Navi Mumbai, Maharashtra, India	H-2024-1339	14 Mar 2024	13 Mar 2028	Accredited on 5th Edition
1312	HCO-05-2023-02783	Parvati Hospital Pvt. Ltd., Prayagraj, Uttar Pradesh, India	H-2024-1340	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1313	HCO-05-2023-02915	Jeevan Jyoti Nursing Home, Jodhpur, Rajasthan, India	H-2024-1341	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1314	HCO-05-2022-02358	Cancer Treatment Services Hyderabad Pvt. Ltd. - At Babina Specialty Hospital, Imphal, Manipur, India	H-2024-1342	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1315	HCO-05-2023-02740	Symbiosis University Hospital and Research Centre, Pune, Maharashtra, India	H-2024-1343	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1316	HCO-05-2023-02753	Dana Shivam Heart and Super Speciality Hospital, Jaipur, Rajasthan, India	H-2024-1344	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1317	HCO-05-2023-02798	Tula Hospital (A Unit of Bothanzi Medicals Pvt. Ltd.), Palwal, Haryana, India	H-2024-1345	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1318	HCO-05-2023-02818	Parmar Hospital, Ropar, Punjab, India	H-2024-1346	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1319	HCO-05-2023-02701	Bhatia Hospital, Mumbai, Maharashtra, India	H-2024-1347	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1320	HCO-05-2023-02776	Oswal Aayush Super Speciality Hospital, Jamnagar, Gujarat, India	H-2024-1348	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1321	HCO-05-2023-02832	Spes Super Speciality Hospital, Greater Noida, Uttar Pradesh, India	H-2024-1349	21 Mar 2024	20 Mar 2028	Accredited on 5th Edition
1322	HCO-05/2022/02191	Saraswati Hospital & Research Centre, Lucknow, Uttar Pradesh, India	H-2024-1350	20 Mar 2024	19 Mar 2028	Accredited on 5th Edition
1323	HCO-05-2023-02844	Apex Ranthambhore Sevika Hospital, Sawai Madhopur, Rajasthan, India	H-2024-1351	27 Mar 2024	26 Mar 2028	Accredited on 5th Edition
1324	HCO-05-2023-03048	Apollo Sage Hospital, Bhopal, Madhya Pradesh, India	H-2024-1352	27 Mar 2024	26 Mar 2028	Accredited on 5th Edition
1325	HCO-05-2023-02741	T.N.K.H.N.U. Charity Fund Hospital, Theni, Tamil Nadu, India	H-2024-1353	04 Apr 2024	03 Apr 2028	Accredited on 5th Edition
1326	HCO-05-2023-02588	Father Muller Hospital , Dakshina Kannada, Karnataka, India	H-2024-1354	04 Apr 2024	03 Apr 2028	Accredited on 5th Edition
1327	HCO-05-2023-02625	Prashanthi Hospital, Warangal, Andhra Pradesh, India	H-2024-1355	04 Apr 2024	03 Apr 2028	Accredited on 5th Edition
1328	HCO-05-2023-02628	B. Lal Hospital & Research Center, Jalore, Rajasthan, India	H-2024-1356	04 Apr 2024	03 Apr 2028	Accredited on 5th Edition
1329	HCO-05-2023-02911	Apex Hospital Mansarovar, Jaipur, Rajasthan, India	H-2024-1357	04 Apr 2024	03 Apr 2028	Accredited on 5th Edition
1330	HCO-05-2022-02132	Lata Mangeshkar Hospital, Nagpur, Maharashtra, India	H-2024-1358	18 Apr 2024	17 Apr 2028	Accredited on 5th Edition
1331	HCO-05-2023-02743	Kaluram Memorial Hospitals Private Limited, Jaipur, Rajasthan, India	H-2024-1359	18 Apr 2024	17 Apr 2028	Accredited on 5th Edition
1332	HCO-05-2023-02802	Kailash Cancer Hospital and Research Centre, Vadodara, Gujarat, India	H-2024-1360	18 Apr 2024	17 Apr 2028	Accredited on 5th Edition
1333	HCO-05-2023-02833	Med Card Multispeciality Hospital, Amritsar, Punjab, India	H-2024-1361	18 Apr 2024	17 Apr 2028	Accredited on 5th Edition
1334	HCO-05-2023-02633	Jaipur National University Institute for Medical Sciences and Research Centre (JNUIMSRC), Jaipur, Rajasthan, India	H-2024-1362	18 Apr 2024	17 Apr 2028	Accredited on 5th Edition
1335	HCO-05-2023-03006	Cauvery Heart and Multi Speciality Hospital, Mysore, Karnataka, India	H-2024-1363	25 Apr 2024	24 Apr 2028	Accredited on 5th Edition
1336	HCO-05-2023-02847	Medipolis Life Care LLP, Palanpur, Gujarat, India	H-2024-1364	25 Apr 2024	24 Apr 2028	Accredited on 5th Edition
1337	HCO-05-2023-03031	Manglamplus Medicity LLP, Jaipur, Rajasthan, India	H-2024-1365	25 Apr 2024	24 Apr 2028	Accredited on 5th Edition
1338	HCO-05-2023-03033	Medicover Women and Child Hospitals (A Unit of Sahrudaya Healthcare Pvt. Ltd.) - (Earlier Certificate issued in the name of Medicover Women and Child Hospitals (A Unit of Suyosha Healthcare Pvt. Ltd.), Hyderabad, Telangana, India	H-2024-1366	25 Apr 2024	24 Apr 2028	Accredited on 5th Edition
1339	HCO-05-2023-02714	Sadguru Hospital, Cuttack, Orissa, India	H-2024-1367	02 May 2024	01 May 2028	Accredited on 5th Edition
1340	HCO-05-2023-02815	Mangalam Hospital, Jaipur, Rajasthan, India	H-2024-1368	02 May 2024	01 May 2028	Accredited on 5th Edition
1341	HCO-05-2023-02897	Ujala Cygnus Kashmir Superspeciality Hospital, Srinagar, Jammu and Kashmir, India	H-2024-1369	02 May 2024	01 May 2028	Accredited on 5th Edition
1342	HCO-05-2023-02816	Manipal Hospitals (East) India Private Limited (MHEIPL) - (Earlier Certificate issued in the Name of AMRI Hospitals Ltd.), Kolkata, West Bengal, India	H-2024-1370	02 May 2024	01 May 2028	Accredited on 5th Edition
1343	HCO-05-2024-03202	Prakriya Hospitals, Bangalore, Karnataka, India	H-2024-1371	02 May 2024	01 May 2028	Accredited on 5th Edition
1344	HCO-05-2023-03111	Shriram Super Speciality Surgical Centre Pvt. Ltd., Jodhpur, Rajasthan, India	H-2024-1372	02 May 2024	01 May 2028	Accredited on 5th Edition
1345	HCO-05-2023-03063	Akanksha Hospital- Unit of Sat Kaival Hospital Pvt. Ltd., Anand, Gujarat, India	H-2024-1373	02 May 2024	01 May 2028	Accredited on 5th Edition
1346	HCO-05-2023-03069	Tx Hospitals Private Limited, Hyderabad, Telangana, India	H-2024-1374	09 May 2024	08 May 2028	Accredited on 5th Edition
1347	HCO-05-02023-02698	Saveetha Medical College & Hospital, Chennai, Tamil Nadu, India	H-2024-1375	16 May 2024	15 May 2028	Accredited on 5th Edition
1348	HCO-05-2023-02702	Medline Hospital, Karnal, Haryana, India	H-2024-1376	16 May 2024	15 May 2028	Accredited on 5th Edition
1349	HCO-05-2023-03070	Medicover Hospitals (A Unit of Sahrudaya Health Care Pvt. Ltd.), Hyderabad, Telangana, India	H-2024-1377	16 May 2024	15 May 2028	Voluntary Withdrawal w.e.f. 18th February 2025
1350	HCO-05-2023-03168	RJN Apollo Spectra Hospital, Gwalior, Madhya Pradesh, India	H-2024-1378	16 May 2024	15 May 2028	Accredited on 5th Edition
1351	HCO-05-2023-03127	City Hospital , Haridwar, Uttarakhand, India	H-2024-1379	16 May 2024	15 May 2028	Accredited on 5th Edition
1352	HCO-05-2023-02467	Jaiswal Hospital and Neuro Institute, Kota, Rajasthan, India	H-2024-1380	24 May 2024	23 May 2028	Accredited on 5th Edition
1353	HCO-05-2023-02542	Sanjiban Hospital (A Unit of Chikitsabrati Udyog), Howrah, West Bengal, India	H-2024-1381	24 May 2024	23 May 2028	Accredited on 5th Edition
1354	HCO-05-2023-02986	Sidarth Hospitals (A Unit of Uma Gowri Hospitals Ltd.), Hyderabad, Telangana, India	H-2024-1382	24 May 2024	23 May 2028	Accredited on 5th Edition
1355	HCO-05-2023-03040	Trust Multi Speciality Hospitals, Kakinada, Andhra Pradesh, India	H-2024-1383	06 Jun 2024	05 Jun 2028	Accredited on 5th Edition
1356	HCO-05-2023-03104	Paras Hec Hospital, Ranchi, Jharkhand, India	H-2024-1384	06 Jun 2024	05 Jun 2028	Accredited on 5th Edition
1357	HCO-05-2023-02482	Bhale Ram Multispeciality Hospital, Hisar, Haryana, India	H-2024-1385	13 Jun 2024	12 Jun 2028	Accredited on 5th Edition
1358	HCO-05-2023-02731	Kamla Hospital, Gurgaon, Haryana, India	H-2024-1386	13 Jun 2024	12 Jun 2028	Forced Withdrawal of Accreditation w.e.f. 21st August 2025
1359	HCO-05-2023-02855	Arpa Medcity Hospital & Research Institute, Bilaspur, Chattisgarh, India	H-2024-1387	13 Jun 2024	12 Jun 2028	Accredited on 5th Edition
1360	HCO-05-2024-03219	Green City Hospital (A Unit of Aar Aar Medical Services Pvt. Ltd.), Greater Noida, Uttar Pradesh, India	H-2024-1388	13 Jun 2024	12 Jun 2028	Accredited on 5th Edition
1361	HCO-05-2023-03112	Lakshmi Hospital , Ernakulam, Kerala, India	H-2024-1389	20 Jun 2024	19 Jun 2028	Accredited on 5th Edition
1362	HCO-05-2023-02795	Dhukia Hospital, Jhunjhunu, Rajasthan, India	H-2024-1390	20 Jun 2024	19 Jun 2028	Accredited on 5th Edition
1363	HCO-05-2023-02809	Ujala Cygnus Rainbow Hospital (A Unit of Cygnus Medicare Private Limited), Agra, Uttar Pradesh, India	H-2024-1391	20 Jun 2024	19 Jun 2028	Accredited on 5th Edition
1364	HCO-05-2023-02483	SS Hospital, Alwar, Rajasthan, India	H-2024-1392	04 Jul 2024	03 Jul 2028	Accredited on 5th Edition
1365	HCO-05-2023-02879	Kinder Women's Hospital and Fertility Centre (A Unit of Kindorama Healthcare Pvt. Ltd.) , Bangalore, Karnataka, India	H-2024-1393	04 Jul 2024	03 Jul 2028	Accredited on 5th Edition
1366	HCO-05-2024-03203	Care and Cure Multispeciality Hospital (Unit of NK Remedies Pvt. Ltd.), Ahmedabad, Gujarat, India	H-2024-1394	04 Jul 2024	03 Jul 2028	Accredited on 5th Edition
1367	HCO-05-2023-02622	Bhagwan Mahaveer Jain Hospital, Bangalore, Karnataka, India	H-2024-1395	04 Jul 2024	03 Jul 2028	Accredited on 5th Edition
1368	HCO-05-2023-03056	We Care Multispeciality Hospital, Rohtak, Haryana, India	H-2024-1396	11 Jul 2024	10 Jul 2028	Accredited on 5th Edition
1369	HCO-05-2023-03158	Numed Superspeciality Hospital (A Unit of Apy Mediservices Pvt Ltd.), Greater Noida, Uttar Pradesh, India	H-2024-1397	11 Jul 2024	10 Jul 2028	Accredited on 5th Edition
1370	HCO-05-2023-03117	SRG Hospital, Jaipur, Rajasthan, India	H-2024-1398	11 Jul 2024	10 Jul 2028	Accredited on 5th Edition
1371	HCO-05-2023-03126	V One Hospital, Indore, Madhya Pradesh, India	H-2024-1399	18 Jul 2024	17 Jul 2028	Accredited on 5th Edition
1372	HCO-05-2023-03067	KRIMS Hospital (Ketki Research Institute of Medical Science), Nagpur, Maharashtra, India	H-2024-1400	25 Jul 2024	24 Jul 2028	Accredited on 5th Edition
1373	HCO-05-2024-03226	Golden Heart Hospital (A Unit of Mediflex Hospital Associates LLP), Jabalpur, Madhya Pradesh, India	H-2024-1401	25 Jul 2024	24 Jul 2028	Accredited on 5th Edition
1374	HCO-05-2023-03109	Pacific Institute of Medical Sciences (A Unit of Sai Tirupati University), Udaipur, Rajasthan, India	H-2024-1402	01 Aug 2024	31 Jul 2028	Accredited on 5th Edition
1375	HCO-05-2023-03132	Solar Hospital : Grace GPS Healthcare Pvt. Ltd., Ahmedabad, Gujarat, India	H-2024-1403	01 Aug 2024	31 Jul 2028	Accredited on 5th Edition
1376	HCO-05-2023-03160	Lokpriya Hospital, Meerut, Uttar Pradesh, India	H-2024-1404	01 Aug 2024	31 Jul 2028	Accredited on 5th Edition
1377	HCO-05-2023-03171	Prathima Cancer Hospital Pvt. Ltd., Warangal, Andhra Pradesh, India	H-2024-1405	01 Aug 2024	31 Jul 2028	Accredited on 5th Edition
1378	HCO-05-2024-03300	Shree Giriraj Hospital, Rajkot, Gujarat, India	H-2024-1406	01 Aug 2024	31 Jul 2028	Accredited on 5th Edition
1379	HCO-05-2023-03156	Sunshine Hospital, Bhubneshwar, Orissa, India	H-2024-1407	01 Aug 2024	31 Jul 2028	Accredited on 5th Edition
1380	HCO-05-2023-03026	Hamidia Hospital, Bhopal, Madhya Pradesh, India	H-2024-1408	08 Aug 2024	07 Aug 2028	Accredited on 5th Edition
1381	HCO-05-2023-02696	Pacific Medical College and Hospital, Udaipur, Rajasthan, India	H-2024-1409	08 Aug 2024	07 Aug 2028	Accredited on 5th Edition
1382	HCO-05-2023-03068	All is Well Hospital, Burhanpur, Madhya Pradesh, India	H-2024-1410	08 Aug 2024	07 Aug 2028	Accredited on 5th Edition
1383	HCO-05-2023-03172	Integral Hospital-integral Institute of Medical Sciences & Research, Lucknow, Uttar Pradesh, India	H-2024-1411	08 Aug 2024	07 Aug 2028	Accredited on 5th Edition
1384	HCO-05-2023-03102	PRK Hospitals Pvt. Ltd., Hyderabad, Telangana, India	H-2024-1412	08 Aug 2024	07 Aug 2028	Accredited on 5th Edition
1385	HCO-05-2024-03198	Kauvery Hospital Medical Services Private Limited, Krishnagiri, Tamil Nadu, India	H-2024-1413	08 Aug 2024	07 Aug 2028	Accredited on 5th Edition
1386	HCO-05-2023-03120	Divya Prastha Hospital, Delhi, Delhi, India	H-2024-1414	16 Aug 2024	15 Aug 2028	Accredited on 5th Edition
1387	HCO-05-2024-03335	Aravali Hospital, Udaipur, Rajasthan, India	H-2024-1415	16 Aug 2024	15 Aug 2028	Accredited on 5th Edition
1388	HCO-05-2023-03165	Anand Hospital (A Unit of Anand Nirogdham Hospital Pvt. Ltd.), Meerut, Uttar Pradesh, India	H-2024-1416	22 Aug 2024	21 Aug 2028	Accredited on 5th Edition
1389	HCO-05-2024-03209	Aryaa Neuro Spine & Super Speciality Hospital Pvt. Ltd., Ajmer, Rajasthan, India	H-2024-1417	22 Aug 2024	21 Aug 2028	Accredited on 5th Edition
1390	HCO-05-2023-03042	Xenia Hospitals, Hyderabad, Telangana, India	H-2024-1418	22 Aug 2024	21 Aug 2028	Accredited on 5th Edition
1391	HCO-05-2023-03082	R R Healthcare, Moradabad, Uttar Pradesh, India	H-2024-1419	22 Aug 2024	21 Aug 2028	Accredited on 5th Edition
1392	HCO-05-2024-03214	ESIC Super Speciality Hospital, Hyderabad, Telangana, India	H-2024-1420	22 Aug 2024	21 Aug 2028	Accredited on 5th Edition
1393	HCO-05-2024-03222	Manthan Hospital, Hisar, Haryana, India	H-2024-1421	22 Aug 2024	21 Aug 2028	Accredited on 5th Edition
1394	HCO-05-2023-02550	Renova Sowmya Cancer Centre, Hyderabad, Telangana, India	H-2024-1422	22 Aug 2024	21 Aug 2028	Accredited on 5th Edition
1395	HCO-05-2023-03191	MPCT Hospital, Navi Mumbai, Maharashtra, India	H-2024-1423	29 Aug 2024	28 Aug 2028	Accredited on 5th Edition
1396	HCO-05-2023-03124	Pal Balaji Hospital Pvt. Ltd., Jodhpur, Rajasthan, India	H-2024-1424	29 Aug 2024	28 Aug 2028	Accredited on 5th Edition
1397	HCO-05-2023-03123	SRM Institute for Medical Science, Chennai, Tamil Nadu, India	H-2024-1425	29 Aug 2024	28 Aug 2028	Accredited on 5th Edition
1398	HCO-05-2023-02763	Mani Superspeciality Hospital, Varanasi, Uttar Pradesh, India	H-2024-1426	05 Sep 2024	04 Sep 2028	Accredited on 5th Edition
1399	HCO-05-2023-02791	Fatima Hospital, Lucknow, Uttar Pradesh, India	H-2024-1427	05 Sep 2024	04 Sep 2028	Accredited on 5th Edition
1400	HCO-05-2024-03248	Shri Sai Hospital, Ambala, Haryana, India	H-2024-1428	05 Sep 2024	04 Sep 2028	Accredited on 5th Edition
1401	HCO-05-2023-03187	Rainbow Children's Medicare Limited, Visakhapatnam, Andhra Pradesh, India	H-2024-1429	05 Sep 2024	04 Sep 2028	Accredited on 5th Edition
1402	HCO-05-2024-03199	Aarvy Healthcare, Gurgaon, Haryana, India	H-2024-1430	05 Sep 2024	04 Sep 2028	Accredited on 5th Edition
1403	HCO-05-2023-02577	Christian Medical College, Ranipet Campus, Vellore, Tamil Nadu, India	H-2024-1431	12 Sep 2024	11 Sep 2028	Accredited on 5th Edition
1404	HCO-05-2024-03363	Nirali Hospital (A Unit of Nirali Memorial Medical Trust), Navsari, Gujarat, India	H-2024-1432	12 Sep 2024	11 Sep 2028	Accredited on 5th Edition
1405	HCO-05-2024-03208	Mavjat Multispeciality Hospital, Banaskantha, Gujarat, India	H-2024-1433	12 Sep 2024	11 Sep 2028	Accredited on 5th Edition
1406	HCO-05-2023-02874	Kauvery Hospital (A Unit of Sri Kauvery Medical Care India Limited), Tirunelveli, Tamil Nadu, India	H-2024-1434	19 Sep 2024	18 Sep 2028	Accredited on 5th Edition
1407	HCO-05-2024-03237	Ankura Hospital for Women & Children (A Unit of Ankura Hospitals LB Nagar Pvt. Ltd.), Hyderabad, Telangana, India	H-2024-1435	19 Sep 2024	18 Sep 2028	Accredited on 5th Edition
1408	HCO-05-2023-02823	M/s. DVC Hospital & Research Centre (A Unit of Sri Dhulipala Veeraiah Chowdary Memorial Trust) , Guntur, Andhra Pradesh, India	H-2024-1436	26 Sep 2024	25 Sep 2028	Accredited on 5th Edition
1409	HCO-05-2023-03162	Rhythm Heart Institute (Unit of Synergy Lifecare Pvt. Ltd.), Vadodara, Gujarat, India	H-2024-1437	26 Sep 2024	25 Sep 2028	Accredited on 5th Edition
1410	HCO-05-2024-03210	Jai Clinic and Nursing Home, Ajmer, Rajasthan, India	H-2024-1438	26 Sep 2024	25 Sep 2028	Accredited on 5th Edition
1411	HCO-05-2024-03295	St Anns Jubille Memorial Hospital, Visakhapatnam, Andhra Pradesh, India	H-2024-1439	03 Oct 2024	02 Oct 2028	Accredited on 5th Edition
1412	HCO-05-2024-03314	Rainbow Hospital (A Unit of B.L. Aggarwal Health Care Private Limited), Sri Ganganagar, Rajasthan, India	H-2024-1440	10 Oct 2024	09 Oct 2028	Accredited on 5th Edition
1413	HCO-05-2024-03293	Suvira Hospital (A Unit of Suvira Super Hospitals Pvt. Ltd.), Jaipur, Rajasthan, India	H-2024-1441	10 Oct 2024	09 Oct 2028	Accredited on 5th Edition
1414	HCO-05-2024-03323	Kolhapur Cancer Centre, Kolhapur, Maharashtra, India	H-2024-1442	10 Oct 2024	09 Oct 2028	Accredited on 5th Edition
1415	HCO-05-2024-03320	Sagar Multispeciality Hospital, Bhopal, Madhya Pradesh, India	H-2024-1443	10 Oct 2024	09 Oct 2028	Accredited on 5th Edition
1416	HCO-05-2024-03206	Laxmi Narayan Memorial Hospital (A Venture of Fortuna Medicare Pvt. Ltd.), Narsinghpur, Madhya Pradesh, India	H-2024-1444	10 Oct 2024	09 Oct 2028	Accredited on 5th Edition
1417	HCO-05-2023-02755	Sant Parmanand Hospital, Delhi, Delhi, India	H-2024-1445	10 Oct 2024	09 Oct 2028	Accredited on 5th Edition
1418	HCO-05-2024-03336	Mary Queens Mission Hospital, Kottayam, Kerala, India	H-2024-1446	10 Oct 2024	09 Oct 2028	Accredited on 5th Edition
1419	HCO-05-2024-03359	Nivik Neuro Trauma And Multispeciality Hospital, Jaipur, Rajasthan, India	H-2024-1447	17 Oct 2024	16 Oct 2028	Accredited on 5th Edition
1420	HCO-05-2024-03218	Kims Kollam Multispeciality Hospital India Private Limited, Kollam, Kerala, India	H-2024-1448	24 Oct 2024	23 Oct 2028	Accredited on 5th Edition
1421	HCO-05-2024-03228	Narayan Memorial Hospital (A Unit of Narayan Health Services Pvt. Ltd.), Kolkata, West Bengal, India	H-2024-1449	24 Oct 2024	23 Oct 2028	Accredited on 5th Edition
1422	HCO-05-2024-03244	Ayushman Bhav Health Institute, Panipat, Haryana, India	H-2024-1450	24 Oct 2024	23 Oct 2028	Accredited on 5th Edition
1423	HCO-05-2024-03231	Jiet Medical College and Hospital (A Unit of Arun Shanti Education Trust), Jodhpur, Rajasthan, India	H-2024-1451	24 Oct 2024	23 Oct 2028	Accredited on 5th Edition
1424	HCO-05-2024-03195	Rohilkhand Medical College and Hospital, Bareilly, Uttar Pradesh, India	H-2024-1452	24 Oct 2024	23 Oct 2028	Accredited on 5th Edition
1425	HCO-05-2023-02692	Bharat Vikash Parishad Hospital & Research Center, Kota, Rajasthan, India	H-2024-1453	24 Oct 2024	23 Oct 2028	Accredited on 5th Edition
1426	HCO-05-2023-02971	Gandhi Hospital, Delhi, Delhi, India	H-2024-1454	24 Oct 2024	23 Oct 2028	Accredited on 5th Edition
1427	HCO-05-2023-03113	Dr. Chandramma Dayananda Sagar Institute of Medical Education and Research, Ramanagara, Karnataka, India	H-2024-1455	07 Nov 2024	06 Nov 2028	Accredited on 5th Edition
1428	HCO-05-2023-02782	GSLTrust Cancer Hospital, East Godavari, Andhra Pradesh, India	H-2024-1456	07 Nov 2024	06 Nov 2028	Accredited on 5th Edition
1429	HCO-05-2024-03313	Aarogyam Superspeciality Hospital and Research Center, Durg, Chattisgarh, India	H-2024-1457	07 Nov 2024	06 Nov 2028	Accredited on 5th Edition
1430	HCO-05-2024-03322	Agrawal Hospital, Tonk, Rajasthan, India	H-2024-1458	07 Nov 2024	06 Nov 2028	Accredited on 5th Edition
1431	HCO-05-2024-03386	Jan Hospital Pali (A Unit of Level 5 Health LLP), Pali, Rajasthan, India	H-2024-1459	07 Nov 2024	06 Nov 2028	Accredited on 5th Edition
1432	HCO-05-2024-03403	K.K. Patel Super Speciality Hospital, Kachchh, Gujarat, India	H-2024-1460	07 Nov 2024	06 Nov 2028	Accredited on 5th Edition
1433	HCO-05-2024-03227	Mamatha Academy of Medical Sciences Hospital, Hyderabad, Telangana, India	H-2024-1461	07 Nov 2024	06 Nov 2028	Accredited on 5th Edition
1434	HCO-05-2023-03125	MGM Cancer Institute, Chennai, Tamil Nadu, India	H-2024-1462	14 Nov 2024	13 Nov 2028	Accredited on 5th Edition
1435	HCO-05-2024-03380	Desun Hospital (A Unit of PN Memorial Neurocentre and Research Institute Limited), Siliguri, West Bengal, India	H-2024-1463	14 Nov 2024	13 Nov 2028	Accredited on 5th Edition
1436	HCO-05-2023-02758	Nazareth Hospital, Allahabad, Uttar Pradesh, India	H-2024-1464	14 Nov 2024	13 Nov 2028	Accredited on 5th Edition
1437	HCO-05-2024-03378	Mehar Hospital (A Unit of Mehar Mediserve LLP), Mohali, Punjab, India	H-2024-1465	14 Nov 2024	13 Nov 2028	Accredited on 5th Edition
1438	HCO-05-2023-02497	Asian Vascular Hospitals, Hyderabad, Telangana, India	H-2024-1466	14 Nov 2024	13 Nov 2028	Accredited on 5th Edition
1439	HCO-05-2024-03442	Pushpanjali Hospital & Research Centre Pvt. Ltd., Agra, Uttar Pradesh, India	H-2024-1467	14 Nov 2024	13 Nov 2028	Accredited on 5th Edition
1440	HCO-05-2024-03379	Woodlands Multispeciality Hospital Limited, Kolkata, West Bengal, India	H-2024-1468	14 Nov 2024	13 Nov 2028	Accredited on 5th Edition
1441	HCO-05-2023-03130	WMF's Villoo Poonawalla Memorial Hospital, Pune, Maharashtra, India	H-2024-1469	21 Nov 2024	20 Nov 2028	Accredited on 5th Edition
1442	HCO-05-2024-03331	Surya Childrens Medicare Private Limited, Mumbai, Maharashtra, India	H-2024-1470	21 Nov 2024	20 Nov 2028	Accredited on 5th Edition
1443	HCO-05-2024-03339	Vyas Superspeciality Hospital, Jodhpur, Rajasthan, India	H-2024-1471	21 Nov 2024	20 Nov 2028	Accredited on 5th Edition
1444	HCO-05-2024-03230	Rajkot Cancer Society, Rajkot, Gujarat, India	H-2024-1472	28 Nov 2024	27 Nov 2028	Accredited on 5th Edition
1445	HCO-05-2024-03252	S.B. Mittal Memorial Heart and Critical Care Hospital, Sikar, Rajasthan, India	H-2024-1473	28 Nov 2024	27 Nov 2028	Accredited on 5th Edition
1446	HCO-05-2024-03344	Archana Hospitals, Hyderabad, Telangana, India	H-2024-1474	28 Nov 2024	27 Nov 2028	Accredited on 5th Edition
1447	HCO-05-2023-03179	Maitri Hospital (A Unit of Singhvi Medicare and Research Centre Pvt. Ltd.), Kota, Rajasthan, India	H-2024-1475	05 Dec 2024	04 Dec 2028	Accredited on 5th Edition
1448	HCO-05-2024-03269	Anand Heart & Multispeciality Hospital (A Unit of Prem Malhotra Heathcare Pvt. Ltd.) , Tarn Taran, Punjab, India	H-2024-1476	05 Dec 2024	04 Dec 2028	Accredited on 5th Edition
1449	HCO-05-2024-03444	Srikara Hospitals , Hyderabad, Telangana, India	H-2024-1477	05 Dec 2024	04 Dec 2028	Accredited on 5th Edition
1450	HCO-05-2024-03358	Scai Superspeciality Hospitals, Gandhinagar, Gujarat, India	H-2024-1478	12 Dec 2024	11 Dec 2028	Accredited on 5th Edition
1451	HCO-05-2023-03153	Lifeline Superspeciality Hospital & Heart Centre, Jhansi, Uttar Pradesh, India	H-2024-1479	12 Dec 2024	11 Dec 2028	Accredited on 5th Edition
1452	HCO-05-2023-02831	Delta Hospitals (Unit of Rajamahendri Healthcare Pvt. Ltd.), Rajamahendravaram, Andhra Pradesh, India	H-2024-1480	12 Dec 2024	11 Dec 2028	Accredited on 5th Edition
